Mode	Permutation	Classifier	Features	Accuracy
With_LBA	Perm_1	svm	channelz_origi	0.9017689457
With_LBA	Perm_10	svm	channelz_lbp_grby	0.9017689457
With_LBA	Perm_11	svm	channelz_lbp_vgrb	0.9017689457
With_LBA	Perm_12	svm	channelz_eigz	0.9017689457
With_LBA	Perm_13	svm	channelz_eigz_lbp	0.9017689457
With_LBA	Perm_14	svm	channelz_eigz_rb	0.9017689457
With_LBA	Perm_15	svm	channelz_eigz_rby	0.9017689457
With_LBA	Perm_16	svm	channelz_eigz_lbp_rb	0.9017689457
With_LBA	Perm_2	svm	channelz_green	0.9017689457
With_LBA	Perm_3	svm	channelz_grb	0.9017689457
With_LBA	Perm_4	svm	channelz_vgrb	0.9017689457
With_LBA	Perm_5	svm	channelz_vgrby	0.9017689457
With_LBA	Perm_6	svm	channelz_lbp_only	0.9017689457
With_LBA	Perm_7	svm	channelz_lbp_origi	0.9017689457
With_LBA	Perm_8	svm	channelz_lbp_green	0.9017689457
With_LBA	Perm_9	svm	channelz_lbp_grb	0.9017689457
With_LBA	Perm_22	logit	channelz_lbp_only	0.9017689457
With_LBA	Perm_23	logit	channelz_lbp_origi	0.9017689457
With_LBA	Perm_24	logit	channelz_lbp_green	0.9017689457
With_LBA	Perm_25	logit	channelz_lbp_grb	0.9017689457
With_LBA	Perm_26	logit	channelz_lbp_grby	0.9017689457
With_LBA	Perm_27	logit	channelz_lbp_vgrb	0.9017689457
With_LBA	Perm_29	logit	channelz_eigz_lbp	0.9017689457
With_LBA	Perm_32	logit	channelz_eigz_lbp_rb	0.9017689457
RGB_Only	Perm_1	svm	channelz_origi	0.9017689457
RGB_Only	Perm_10	svm	channelz_eigz	0.9017689457
RGB_Only	Perm_11	svm	channelz_eigz_lbp	0.9017689457
RGB_Only	Perm_12	svm	channelz_eigz_rb	0.9017689457
RGB_Only	Perm_13	svm	channelz_eigz_lbp_rb	0.9017689457
RGB_Only	Perm_2	svm	channelz_green	0.9017689457
RGB_Only	Perm_3	svm	channelz_grb	0.9017689457
RGB_Only	Perm_4	svm	channelz_vgrb	0.9017689457
RGB_Only	Perm_5	svm	channelz_lbp_only	0.9017689457
RGB_Only	Perm_6	svm	channelz_lbp_origi	0.9017689457
RGB_Only	Perm_7	svm	channelz_lbp_green	0.9017689457
RGB_Only	Perm_8	svm	channelz_lbp_grb	0.9017689457
RGB_Only	Perm_9	svm	channelz_lbp_vgrb	0.9017689457
RGB_Only	Perm_18	logit	channelz_lbp_only	0.9017689457
RGB_Only	Perm_19	logit	channelz_lbp_origi	0.9017689457
RGB_Only	Perm_20	logit	channelz_lbp_green	0.9017689457
RGB_Only	Perm_21	logit	channelz_lbp_grb	0.9017689457
RGB_Only	Perm_22	logit	channelz_lbp_vgrb	0.9017689457
RGB_Only	Perm_24	logit	channelz_eigz_lbp	0.9017689457
RGB_Only	Perm_26	logit	channelz_eigz_lbp_rb	0.9017689457
With_LBA	Perm_21	logit	channelz_vgrby	0.8967311304
With_LBA	Perm_31	logit	channelz_eigz_rby	0.8967311304
RGB_Only	Perm_25	logit	channelz_eigz_rb	0.889193442
With_LBA	Perm_17	logit	channelz_origi	0.8866808791
RGB_Only	Perm_14	logit	channelz_origi	0.8841683163
With_LBA	Perm_20	logit	channelz_vgrb	0.8841556266
RGB_Only	Perm_17	logit	channelz_vgrb	0.8841556266
RGB_Only	Perm_16	logit	channelz_grb	0.8816303741
With_LBA	Perm_19	logit	channelz_grb	0.8816303741
With_LBA	Perm_30	logit	channelz_eigz_rb	0.8816303741
With_LBA	Perm_18	logit	channelz_green	0.8715166743
With_LBA	Perm_28	logit	channelz_eigz	0.8715166743
RGB_Only	Perm_15	logit	channelz_green	0.8715166743
RGB_Only	Perm_23	logit	channelz_eigz	0.8488528501